"Race","Age.Group","Year.of.diagnosis","Sex","Count"
"All","00 years","1993-1995","Female",7
"All","00 years","1993-1995","Male and female",15
"All","00 years","1993-1995","Male",10
"All","00 years","1993-1995","Female",5
"All","00 years","1993-1995","Male and female",10
"All","00 years","1993-1995","Male",2
"All","00 years","1993-1995","Female",8
"All","00 years","1996-1998","Male and female",10
"All","00 years","1996-1998","Male",7
"All","00 years","1996-1998","Female",3
"All","00 years","1996-1998","Male and female",8
"All","00 years","1996-1998","Male",5
"All","00 years","1996-1998","Female",3
"All","00 years","1996-1998","Male and female",14
"All","00 years","1996-1998","Male",7
"All","00 years","1996-1998","Female",7
"All","00 years","1999-2001","Male and female",9
"All","00 years","1999-2001","Male",4
"All","00 years","1999-2001","Female",5
"All","00 years","1999-2001","Male and female",19
"All","00 years","1999-2001","Male",6
"All","00 years","1999-2001","Female",13
"All","00 years","1999-2001","Male and female",10
"All","00 years","1999-2001","Male",3
"All","00 years","1999-2001","Female",7
"All","00 years","2002-2004","Male and female",12
"All","00 years","2002-2004","Male",6
"All","00 years","2002-2004","Female",6
"All","00 years","2002-2004","Male and female",11
"All","00 years","2002-2004","Male",5
"All","00 years","2002-2004","Female",6
"All","00 years","2002-2004","Male and female",13
"All","00 years","2002-2004","Male",7
"All","00 years","2002-2004","Female",6
"All","00 years","2005-2007","Male and female",28
"All","00 years","2005-2007","Male",9
"All","00 years","2005-2007","Female",19
"All","00 years","2005-2007","Male and female",17
"All","00 years","2005-2007","Male",9
"All","00 years","2005-2007","Female",8
"All","00 years","2005-2007","Male and female",12
"All","00 years","2005-2007","Male",7
"All","00 years","2005-2007","Female",5
"All","00 years","2008-2010","Male and female",16
"All","00 years","2008-2010","Male",11
"All","00 years","2008-2010","Female",5
"All","00 years","2008-2010","Male and female",14
"All","00 years","2008-2010","Male",7
"All","00 years","2008-2010","Female",7
"All","00 years","2008-2010","Male and female",19
"All","00 years","2008-2010","Male",9
"All","00 years","2008-2010","Female",10
"All","00 years","2011-2013","Male and female",8
"All","00 years","2011-2013","Male",4
"All","00 years","2011-2013","Female",4
"All","00 years","2011-2013","Male and female",25
"All","00 years","2011-2013","Male",16
"All","00 years","2011-2013","Female",9
"All","00 years","2011-2013","Male and female",18
"All","00 years","2011-2013","Male",9
"All","00 years","2011-2013","Female",9
"All","00 years","2014-2016","Male and female",9
"All","00 years","2014-2016","Male",6
"All","00 years","2014-2016","Female",3
"All","00 years","2014-2016","Male and female",18
"All","00 years","2014-2016","Male",10
"All","00 years","2014-2016","Female",8
"All","00 years","2014-2016","Male and female",15
"All","00 years","2014-2016","Male",9
"All","00 years","2014-2016","Female",6
"All","00 years","2017-2019","Male and female",16
"All","00 years","2017-2019","Male",5
"All","00 years","2017-2019","Female",11
"All","00 years","2017-2019","Male and female",16
"All","00 years","2017-2019","Male",10
"All","00 years","2017-2019","Female",6
"All","00 years","2017-2019","Male and female",7
"All","00 years","2017-2019","Male",2
"All","00 years","2017-2019","Female",5
"All","01-04 years","1975-2019","Male and female",4517
"All","01-04 years","1975-2019","Male",2464
"All","01-04 years","1975-2019","Female",2053
"All","01-04 years","1975-1977","Male and female",70
"All","01-04 years","1975-1977","Male",46
"All","01-04 years","1975-1977","Female",24
"All","01-04 years","1975-1977","Male and female",67
"All","01-04 years","1975-1977","Male",37
"All","01-04 years","1975-1977","Female",30
"All","01-04 years","1975-1977","Male and female",75
"All","01-04 years","1975-1977","Male",42
"All","01-04 years","1975-1977","Female",33
"All","01-04 years","1978-1980","Male and female",69
"All","01-04 years","1978-1980","Male",37
"All","01-04 years","1978-1980","Female",32
"All","01-04 years","1978-1980","Male and female",61
"All","01-04 years","1978-1980","Male",32
"All","01-04 years","1978-1980","Female",29
"All","01-04 years","1978-1980","Male and female",85
"All","01-04 years","1978-1980","Male",50
"All","01-04 years","1978-1980","Female",35
"All","01-04 years","1981-1983","Male and female",70
"All","01-04 years","1981-1983","Male",34
"All","01-04 years","1981-1983","Female",36
"All","01-04 years","1981-1983","Male and female",61
"All","01-04 years","1981-1983","Male",36
"All","01-04 years","1981-1983","Female",25
"All","01-04 years","1981-1983","Male and female",76
"All","01-04 years","1981-1983","Male",41
"All","01-04 years","1981-1983","Female",35
"All","01-04 years","1984-1986","Male and female",87
"All","01-04 years","1984-1986","Male",34
"All","01-04 years","1984-1986","Female",53
"All","01-04 years","1984-1986","Male and female",94
"All","01-04 years","1984-1986","Male",57
"All","01-04 years","1984-1986","Female",37
"All","01-04 years","1984-1986","Male and female",88
"All","01-04 years","1984-1986","Male",51
"All","01-04 years","1984-1986","Female",37
"All","01-04 years","1987-1989","Male and female",89
"All","01-04 years","1987-1989","Male",48
"All","01-04 years","1987-1989","Female",41
"All","01-04 years","1987-1989","Male and female",93
"All","01-04 years","1987-1989","Male",52
"All","01-04 years","1987-1989","Female",41
"All","01-04 years","1987-1989","Male and female",101
"All","01-04 years","1987-1989","Male",59
"All","01-04 years","1987-1989","Female",42
"All","01-04 years","1990-1992","Male and female",99
"All","01-04 years","1990-1992","Male",49
"All","01-04 years","1990-1992","Female",50
"All","01-04 years","1990-1992","Male and female",102
"All","01-04 years","1990-1992","Male",57
"All","01-04 years","1990-1992","Female",45
"All","01-04 years","1990-1992","Male and female",85
"All","01-04 years","1990-1992","Male",52
"All","01-04 years","1990-1992","Female",33
"All","01-04 years","1993-1995","Male and female",98
"All","01-04 years","1993-1995","Male",48
"All","01-04 years","1993-1995","Female",50
"All","01-04 years","1993-1995","Male and female",94
"All","01-04 years","1993-1995","Male",56
"All","01-04 years","1993-1995","Female",38
"All","01-04 years","1993-1995","Male and female",113
"All","01-04 years","1993-1995","Male",70
"All","01-04 years","1993-1995","Female",43
"All","01-04 years","1996-1998","Male and female",111
"All","01-04 years","1996-1998","Male",71
"All","01-04 years","1996-1998","Female",40
"All","01-04 years","1996-1998","Male and female",102
"All","01-04 years","1996-1998","Male",52
"All","01-04 years","1996-1998","Female",50
"All","01-04 years","1996-1998","Male and female",104
"All","01-04 years","1996-1998","Male",61
"All","01-04 years","1996-1998","Female",43
"All","01-04 years","1999-2001","Male and female",108
"All","01-04 years","1999-2001","Male",60
"All","01-04 years","1999-2001","Female",48
"All","01-04 years","1999-2001","Male and female",107
"All","01-04 years","1999-2001","Male",61
"All","01-04 years","1999-2001","Female",46
"All","01-04 years","1999-2001","Male and female",99
"All","01-04 years","1999-2001","Male",57
"All","01-04 years","1999-2001","Female",42
"All","01-04 years","2002-2004","Male and female",125
"All","01-04 years","2002-2004","Male",67
"All","01-04 years","2002-2004","Female",58
"All","01-04 years","2002-2004","Male and female",87
"All","01-04 years","2002-2004","Male",52
"All","01-04 years","2002-2004","Female",35
"All","01-04 years","2002-2004","Male and female",131
"All","01-04 years","2002-2004","Male",76
"All","01-04 years","2002-2004","Female",55
"All","01-04 years","2005-2007","Male and female",109
"All","01-04 years","2005-2007","Male",67
"All","01-04 years","2005-2007","Female",42
"All","01-04 years","2005-2007","Male and female",110
"All","01-04 years","2005-2007","Male",54
"All","01-04 years","2005-2007","Female",56
"All","01-04 years","2005-2007","Male and female",107
"All","01-04 years","2005-2007","Male",58
"All","01-04 years","2005-2007","Female",49
"All","01-04 years","2008-2010","Male and female",118
"All","01-04 years","2008-2010","Male",63
"All","01-04 years","2008-2010","Female",55
"All","01-04 years","2008-2010","Male and female",133
"All","01-04 years","2008-2010","Male",65
"All","01-04 years","2008-2010","Female",68
"All","01-04 years","2008-2010","Male and female",123
"All","01-04 years","2008-2010","Male",64
"All","01-04 years","2008-2010","Female",59
"All","01-04 years","2011-2013","Male and female",130
"All","01-04 years","2011-2013","Male",64
"All","01-04 years","2011-2013","Female",66
"All","01-04 years","2011-2013","Male and female",116
"All","01-04 years","2011-2013","Male",56
"All","01-04 years","2011-2013","Female",60
"All","01-04 years","2011-2013","Male and female",119
"All","01-04 years","2011-2013","Male",67
"All","01-04 years","2011-2013","Female",52
"All","01-04 years","2014-2016","Male and female",116
"All","01-04 years","2014-2016","Male",57
"All","01-04 years","2014-2016","Female",59
"All","01-04 years","2014-2016","Male and female",113
"All","01-04 years","2014-2016","Male",60
"All","01-04 years","2014-2016","Female",53
"All","01-04 years","2014-2016","Male and female",121
"All","01-04 years","2014-2016","Male",57
"All","01-04 years","2014-2016","Female",64
"All","01-04 years","2017-2019","Male and female",146
"All","01-04 years","2017-2019","Male",78
"All","01-04 years","2017-2019","Female",68
"All","01-04 years","2017-2019","Male and female",113
"All","01-04 years","2017-2019","Male",58
"All","01-04 years","2017-2019","Female",55
"All","01-04 years","2017-2019","Male and female",92
"All","01-04 years","2017-2019","Male",51
"All","01-04 years","2017-2019","Female",41
"All","05-09 years","1975-2019","Male and female",2522
"All","05-09 years","1975-2019","Male",1409
"All","05-09 years","1975-2019","Female",1113
"All","05-09 years","1975-1977","Male and female",36
"All","05-09 years","1975-1977","Male",21
"All","05-09 years","1975-1977","Female",15
"All","05-09 years","1975-1977","Male and female",56
"All","05-09 years","1975-1977","Male",32
"All","05-09 years","1975-1977","Female",24
"All","05-09 years","1975-1977","Male and female",43
"All","05-09 years","1975-1977","Male",23
"All","05-09 years","1975-1977","Female",20
"All","05-09 years","1978-1980","Male and female",42
"All","05-09 years","1978-1980","Male",26
"All","05-09 years","1978-1980","Female",16
"All","05-09 years","1978-1980","Male and female",45
"All","05-09 years","1978-1980","Male",25
"All","05-09 years","1978-1980","Female",20
"All","05-09 years","1978-1980","Male and female",39
"All","05-09 years","1978-1980","Male",17
"All","05-09 years","1978-1980","Female",22
"All","05-09 years","1981-1983","Male and female",46
"All","05-09 years","1981-1983","Male",21
"All","05-09 years","1981-1983","Female",25
"All","05-09 years","1981-1983","Male and female",34
"All","05-09 years","1981-1983","Male",15
"All","05-09 years","1981-1983","Female",19
"All","05-09 years","1981-1983","Male and female",35
"All","05-09 years","1981-1983","Male",17
"All","05-09 years","1981-1983","Female",18
"All","05-09 years","1984-1986","Male and female",44
"All","05-09 years","1984-1986","Male",27
"All","05-09 years","1984-1986","Female",17
"All","05-09 years","1984-1986","Male and female",51
"All","05-09 years","1984-1986","Male",31
"All","05-09 years","1984-1986","Female",20
"All","05-09 years","1984-1986","Male and female",47
"All","05-09 years","1984-1986","Male",31
"All","05-09 years","1984-1986","Female",16
"All","05-09 years","1987-1989","Male and female",51
"All","05-09 years","1987-1989","Male",27
"All","05-09 years","1987-1989","Female",24
"All","05-09 years","1987-1989","Male and female",49
"All","05-09 years","1987-1989","Male",32
"All","05-09 years","1987-1989","Female",17
"All","05-09 years","1987-1989","Male and female",68
"All","05-09 years","1987-1989","Male",33
"All","05-09 years","1987-1989","Female",35
"All","05-09 years","1990-1992","Male and female",61
"All","05-09 years","1990-1992","Male",32
"All","05-09 years","1990-1992","Female",29
"All","05-09 years","1990-1992","Male and female",56
"All","05-09 years","1990-1992","Male",31
"All","05-09 years","1990-1992","Female",25
"All","05-09 years","1990-1992","Male and female",57
"All","05-09 years","1990-1992","Male",35
"All","05-09 years","1990-1992","Female",22
"All","05-09 years","1993-1995","Male and female",55
"All","05-09 years","1993-1995","Male",26
"All","05-09 years","1993-1995","Female",29
"All","05-09 years","1993-1995","Male and female",38
"All","05-09 years","1993-1995","Male",21
"All","05-09 years","1993-1995","Female",17
"All","05-09 years","1993-1995","Male and female",53
"All","05-09 years","1993-1995","Male",34
"All","05-09 years","1993-1995","Female",19
"All","05-09 years","1996-1998","Male and female",63
"All","05-09 years","1996-1998","Male",32
"All","05-09 years","1996-1998","Female",31
"All","05-09 years","1996-1998","Male and female",62
"All","05-09 years","1996-1998","Male",30
"All","05-09 years","1996-1998","Female",32
"All","05-09 years","1996-1998","Male and female",67
"All","05-09 years","1996-1998","Male",32
"All","05-09 years","1996-1998","Female",35
"All","05-09 years","1999-2001","Male and female",74
"All","05-09 years","1999-2001","Male",40
"All","05-09 years","1999-2001","Female",34
"All","05-09 years","1999-2001","Male and female",67
"All","05-09 years","1999-2001","Male",37
"All","05-09 years","1999-2001","Female",30
"All","05-09 years","1999-2001","Male and female",56
"All","05-09 years","1999-2001","Male",31
"All","05-09 years","1999-2001","Female",25
"All","05-09 years","2002-2004","Male and female",50
"All","05-09 years","2002-2004","Male",30
"All","05-09 years","2002-2004","Female",20
"All","05-09 years","2002-2004","Male and female",56
"All","05-09 years","2002-2004","Male",28
"All","05-09 years","2002-2004","Female",28
"All","05-09 years","2002-2004","Male and female",59
"All","05-09 years","2002-2004","Male",31
"All","05-09 years","2002-2004","Female",28
"All","05-09 years","2005-2007","Male and female",65
"All","05-09 years","2005-2007","Male",39
"All","05-09 years","2005-2007","Female",26
"All","05-09 years","2005-2007","Male and female",58
"All","05-09 years","2005-2007","Male",30
"All","05-09 years","2005-2007","Female",28
"All","05-09 years","2005-2007","Male and female",55
"All","05-09 years","2005-2007","Male",29
"All","05-09 years","2005-2007","Female",26
"All","05-09 years","2008-2010","Male and female",66
"All","05-09 years","2008-2010","Male",35
"All","05-09 years","2008-2010","Female",31
"All","05-09 years","2008-2010","Male and female",52
"All","05-09 years","2008-2010","Male",28
"All","05-09 years","2008-2010","Female",24
"All","05-09 years","2008-2010","Male and female",73
"All","05-09 years","2008-2010","Male",43
"All","05-09 years","2008-2010","Female",30
"All","05-09 years","2011-2013","Male and female",70
"All","05-09 years","2011-2013","Male",43
"All","05-09 years","2011-2013","Female",27
"All","05-09 years","2011-2013","Male and female",60
"All","05-09 years","2011-2013","Male",37
"All","05-09 years","2011-2013","Female",23
"All","05-09 years","2011-2013","Male and female",57
"All","05-09 years","2011-2013","Male",31
"All","05-09 years","2011-2013","Female",26
"All","05-09 years","2014-2016","Male and female",68
"All","05-09 years","2014-2016","Male",39
"All","05-09 years","2014-2016","Female",29
"All","05-09 years","2014-2016","Male and female",60
"All","05-09 years","2014-2016","Male",38
"All","05-09 years","2014-2016","Female",22
"All","05-09 years","2014-2016","Male and female",77
"All","05-09 years","2014-2016","Male",43
"All","05-09 years","2014-2016","Female",34
"All","05-09 years","2017-2019","Male and female",75
"All","05-09 years","2017-2019","Male",46
"All","05-09 years","2017-2019","Female",29
"All","05-09 years","2017-2019","Male and female",68
"All","05-09 years","2017-2019","Male",44
"All","05-09 years","2017-2019","Female",24
"All","05-09 years","2017-2019","Male and female",58
"All","05-09 years","2017-2019","Male",36
"All","05-09 years","2017-2019","Female",22
"All","10-14 years","1975-2019","Male and female",1840
"All","10-14 years","1975-2019","Male",1068
"All","10-14 years","1975-2019","Female",772
"All","10-14 years","1975-1977","Male and female",28
"All","10-14 years","1975-1977","Male",15
"All","10-14 years","1975-1977","Female",13
"All","10-14 years","1975-1977","Male and female",32
"All","10-14 years","1975-1977","Male",13
"All","10-14 years","1975-1977","Female",19
"All","10-14 years","1975-1977","Male and female",31
"All","10-14 years","1975-1977","Male",19
"All","10-14 years","1975-1977","Female",12
"All","10-14 years","1978-1980","Male and female",26
"All","10-14 years","1978-1980","Male",16
"All","10-14 years","1978-1980","Female",10
"All","10-14 years","1978-1980","Male and female",30
"All","10-14 years","1978-1980","Male",16
"All","10-14 years","1978-1980","Female",14
"All","10-14 years","1978-1980","Male and female",27
"All","10-14 years","1978-1980","Male",19
"All","10-14 years","1978-1980","Female",8
"All","10-14 years","1981-1983","Male and female",29
"All","10-14 years","1981-1983","Male",17
"All","10-14 years","1981-1983","Female",12
"All","10-14 years","1981-1983","Male and female",41
"All","10-14 years","1981-1983","Male",23
"All","10-14 years","1981-1983","Female",18
"All","10-14 years","1981-1983","Male and female",28
"All","10-14 years","1981-1983","Male",22
"All","10-14 years","1981-1983","Female",6
"All","10-14 years","1984-1986","Male and female",46
"All","10-14 years","1984-1986","Male",24
"All","10-14 years","1984-1986","Female",22
"All","10-14 years","1984-1986","Male and female",43
"All","10-14 years","1984-1986","Male",23
"All","10-14 years","1984-1986","Female",20
"All","10-14 years","1984-1986","Male and female",24
"All","10-14 years","1984-1986","Male",13
"All","10-14 years","1984-1986","Female",11
"All","10-14 years","1987-1989","Male and female",38
"All","10-14 years","1987-1989","Male",20
"All","10-14 years","1987-1989","Female",18
"All","10-14 years","1987-1989","Male and female",20
"All","10-14 years","1987-1989","Male",14
"All","10-14 years","1987-1989","Female",6
"All","10-14 years","1987-1989","Male and female",40
"All","10-14 years","1987-1989","Male",24
"All","10-14 years","1987-1989","Female",16
"All","10-14 years","1990-1992","Male and female",30
"All","10-14 years","1990-1992","Male",12
"All","10-14 years","1990-1992","Female",18
"All","10-14 years","1990-1992","Male and female",33
"All","10-14 years","1990-1992","Male",16
"All","10-14 years","1990-1992","Female",17
"All","10-14 years","1990-1992","Male and female",38
"All","10-14 years","1990-1992","Male",21
"All","10-14 years","1990-1992","Female",17
"All","10-14 years","1993-1995","Male and female",33
"All","10-14 years","1993-1995","Male",21
"All","10-14 years","1993-1995","Female",12
"All","10-14 years","1993-1995","Male and female",25
"All","10-14 years","1993-1995","Male",14
"All","10-14 years","1993-1995","Female",11
"All","10-14 years","1993-1995","Male and female",39
"All","10-14 years","1993-1995","Male",22
"All","10-14 years","1993-1995","Female",17
"All","10-14 years","1996-1998","Male and female",40
"All","10-14 years","1996-1998","Male",21
"All","10-14 years","1996-1998","Female",19
"All","10-14 years","1996-1998","Male and female",39
"All","10-14 years","1996-1998","Male",24
"All","10-14 years","1996-1998","Female",15
"All","10-14 years","1996-1998","Male and female",44
"All","10-14 years","1996-1998","Male",27
"All","10-14 years","1996-1998","Female",17
"All","10-14 years","1999-2001","Male and female",37
"All","10-14 years","1999-2001","Male",24
"All","10-14 years","1999-2001","Female",13
"All","10-14 years","1999-2001","Male and female",34
"All","10-14 years","1999-2001","Male",15
"All","10-14 years","1999-2001","Female",19
"All","10-14 years","1999-2001","Male and female",53
"All","10-14 years","1999-2001","Male",32
"All","10-14 years","1999-2001","Female",21
"All","10-14 years","2002-2004","Male and female",42
"All","10-14 years","2002-2004","Male",30
"All","10-14 years","2002-2004","Female",12
"All","10-14 years","2002-2004","Male and female",42
"All","10-14 years","2002-2004","Male",23
"All","10-14 years","2002-2004","Female",19
"All","10-14 years","2002-2004","Male and female",50
"All","10-14 years","2002-2004","Male",25
"All","10-14 years","2002-2004","Female",25
"All","10-14 years","2005-2007","Male and female",56
"All","10-14 years","2005-2007","Male",36
"All","10-14 years","2005-2007","Female",20
"All","10-14 years","2005-2007","Male and female",50
"All","10-14 years","2005-2007","Male",28
"All","10-14 years","2005-2007","Female",22
"All","10-14 years","2005-2007","Male and female",42
"All","10-14 years","2005-2007","Male",24
"All","10-14 years","2005-2007","Female",18
"All","10-14 years","2008-2010","Male and female",50
"All","10-14 years","2008-2010","Male",30
"All","10-14 years","2008-2010","Female",20
"All","10-14 years","2008-2010","Male and female",56
"All","10-14 years","2008-2010","Male",39
"All","10-14 years","2008-2010","Female",17
"All","10-14 years","2008-2010","Male and female",41
"All","10-14 years","2008-2010","Male",23
"All","10-14 years","2008-2010","Female",18
"All","10-14 years","2011-2013","Male and female",47
"All","10-14 years","2011-2013","Male",23
"All","10-14 years","2011-2013","Female",24
"All","10-14 years","2011-2013","Male and female",49
"All","10-14 years","2011-2013","Male",26
"All","10-14 years","2011-2013","Female",23
"All","10-14 years","2011-2013","Male and female",60
"All","10-14 years","2011-2013","Male",34
"All","10-14 years","2011-2013","Female",26
"All","10-14 years","2014-2016","Male and female",52
"All","10-14 years","2014-2016","Male",29
"All","10-14 years","2014-2016","Female",23
"All","10-14 years","2014-2016","Male and female",57
"All","10-14 years","2014-2016","Male",34
"All","10-14 years","2014-2016","Female",23
"All","10-14 years","2014-2016","Male and female",60
"All","10-14 years","2014-2016","Male",40
"All","10-14 years","2014-2016","Female",20
"All","10-14 years","2017-2019","Male and female",46
"All","10-14 years","2017-2019","Male",28
"All","10-14 years","2017-2019","Female",18
"All","10-14 years","2017-2019","Male and female",54
"All","10-14 years","2017-2019","Male",32
"All","10-14 years","2017-2019","Female",22
"All","10-14 years","2017-2019","Male and female",58
"All","10-14 years","2017-2019","Male",37
"All","10-14 years","2017-2019","Female",21
"All","15-19 years","1975-2019","Male and female",1808
"All","15-19 years","1975-2019","Male",1090
"All","15-19 years","1975-2019","Female",718
"All","15-19 years","1975-1977","Male and female",30
"All","15-19 years","1975-1977","Male",19
"All","15-19 years","1975-1977","Female",11
"All","15-19 years","1975-1977","Male and female",29
"All","15-19 years","1975-1977","Male",19
"All","15-19 years","1975-1977","Female",10
"All","15-19 years","1975-1977","Male and female",29
"All","15-19 years","1975-1977","Male",20
"All","15-19 years","1975-1977","Female",9
"All","15-19 years","1978-1980","Male and female",33
"All","15-19 years","1978-1980","Male",23
"All","15-19 years","1978-1980","Female",10
"All","15-19 years","1978-1980","Male and female",36
"All","15-19 years","1978-1980","Male",25
"All","15-19 years","1978-1980","Female",11
"All","15-19 years","1978-1980","Male and female",30
"All","15-19 years","1978-1980","Male",20
"All","15-19 years","1978-1980","Female",10
"All","15-19 years","1981-1983","Male and female",40
"All","15-19 years","1981-1983","Male",26
"All","15-19 years","1981-1983","Female",14
"All","15-19 years","1981-1983","Male and female",33
"All","15-19 years","1981-1983","Male",15
"All","15-19 years","1981-1983","Female",18
"All","15-19 years","1981-1983","Male and female",36
"All","15-19 years","1981-1983","Male",20
"All","15-19 years","1981-1983","Female",16
"All","15-19 years","1984-1986","Male and female",31
"All","15-19 years","1984-1986","Male",20
"All","15-19 years","1984-1986","Female",11
"All","15-19 years","1984-1986","Male and female",30
"All","15-19 years","1984-1986","Male",16
"All","15-19 years","1984-1986","Female",14
"All","15-19 years","1984-1986","Male and female",33
"All","15-19 years","1984-1986","Male",25
"All","15-19 years","1984-1986","Female",8
"All","15-19 years","1987-1989","Male and female",20
"All","15-19 years","1987-1989","Male",15
"All","15-19 years","1987-1989","Female",5
"All","15-19 years","1987-1989","Male and female",29
"All","15-19 years","1987-1989","Male",18
"All","15-19 years","1987-1989","Female",11
"All","15-19 years","1987-1989","Male and female",34
"All","15-19 years","1987-1989","Male",18
"All","15-19 years","1987-1989","Female",16
"All","15-19 years","1990-1992","Male and female",30
"All","15-19 years","1990-1992","Male",20
"All","15-19 years","1990-1992","Female",10
"All","15-19 years","1990-1992","Male and female",32
"All","15-19 years","1990-1992","Male",18
"All","15-19 years","1990-1992","Female",14
"All","15-19 years","1990-1992","Male and female",33
"All","15-19 years","1990-1992","Male",20
"All","15-19 years","1990-1992","Female",13
"All","15-19 years","1993-1995","Male and female",28
"All","15-19 years","1993-1995","Male",14
"All","15-19 years","1993-1995","Female",14
"All","15-19 years","1993-1995","Male and female",38
"All","15-19 years","1993-1995","Male",21
"All","15-19 years","1993-1995","Female",17
"All","15-19 years","1993-1995","Male and female",39
"All","15-19 years","1993-1995","Male",21
"All","15-19 years","1993-1995","Female",18
"All","15-19 years","1996-1998","Male and female",32
"All","15-19 years","1996-1998","Male",23
"All","15-19 years","1996-1998","Female",9
"All","15-19 years","1996-1998","Male and female",39
"All","15-19 years","1996-1998","Male",23
"All","15-19 years","1996-1998","Female",16
"All","15-19 years","1996-1998","Male and female",36
"All","15-19 years","1996-1998","Male",22
"All","15-19 years","1996-1998","Female",14
"All","15-19 years","1999-2001","Male and female",36
"All","15-19 years","1999-2001","Male",23
"All","15-19 years","1999-2001","Female",13
"All","15-19 years","1999-2001","Male and female",48
"All","15-19 years","1999-2001","Male",22
"All","15-19 years","1999-2001","Female",26
"All","15-19 years","1999-2001","Male and female",41
"All","15-19 years","1999-2001","Male",18
"All","15-19 years","1999-2001","Female",23
"All","15-19 years","2002-2004","Male and female",59
"All","15-19 years","2002-2004","Male",39
"All","15-19 years","2002-2004","Female",20
"All","15-19 years","2002-2004","Male and female",48
"All","15-19 years","2002-2004","Male",30
"All","15-19 years","2002-2004","Female",18
"All","15-19 years","2002-2004","Male and female",43
"All","15-19 years","2002-2004","Male",33
"All","15-19 years","2002-2004","Female",10
"All","15-19 years","2005-2007","Male and female",45
"All","15-19 years","2005-2007","Male",26
"All","15-19 years","2005-2007","Female",19
"All","15-19 years","2005-2007","Male and female",42
"All","15-19 years","2005-2007","Male",28
"All","15-19 years","2005-2007","Female",14
"All","15-19 years","2005-2007","Male and female",65
"All","15-19 years","2005-2007","Male",31
"All","15-19 years","2005-2007","Female",34
"All","15-19 years","2008-2010","Male and female",48
"All","15-19 years","2008-2010","Male",32
"All","15-19 years","2008-2010","Female",16
"All","15-19 years","2008-2010","Male and female",39
"All","15-19 years","2008-2010","Male",21
"All","15-19 years","2008-2010","Female",18
"All","15-19 years","2008-2010","Male and female",41
"All","15-19 years","2008-2010","Male",17
"All","15-19 years","2008-2010","Female",24
"All","15-19 years","2011-2013","Male and female",55
"All","15-19 years","2011-2013","Male",34
"All","15-19 years","2011-2013","Female",21
"All","15-19 years","2011-2013","Male and female",45
"All","15-19 years","2011-2013","Male",28
"All","15-19 years","2011-2013","Female",17
"All","15-19 years","2011-2013","Male and female",46
"All","15-19 years","2011-2013","Male",27
"All","15-19 years","2011-2013","Female",19
"All","15-19 years","2014-2016","Male and female",48
"All","15-19 years","2014-2016","Male",25
"All","15-19 years","2014-2016","Female",23
"All","15-19 years","2014-2016","Male and female",50
"All","15-19 years","2014-2016","Male",21
"All","15-19 years","2014-2016","Female",29
"All","15-19 years","2014-2016","Male and female",70
"All","15-19 years","2014-2016","Male",49
"All","15-19 years","2014-2016","Female",21
"All","15-19 years","2017-2019","Male and female",57
"All","15-19 years","2017-2019","Male",37
"All","15-19 years","2017-2019","Female",20
"All","15-19 years","2017-2019","Male and female",47
"All","15-19 years","2017-2019","Male",31
"All","15-19 years","2017-2019","Female",16
