Race,Age.Group,Year.of.Death,Sex,State,Count
All,00 years,1969-1971,Female,New Mexico, 
All,00 years,1969-1971,Female,New York,12
All,00 years,1969-1971,Female,Texas, 
All,00 years,1969-1971,Female,Utah, 
All,00 years,1969-1971,Female,Washington, 
All,00 years,1972-1974,Male and female,Arizona, 
All,00 years,1972-1974,Male and female,California,17
All,00 years,1972-1974,Male and female,Connecticut, 
All,00 years,1972-1974,Male and female,Georgia, 
All,00 years,1972-1974,Male and female,Illinois, 
All,00 years,1972-1974,Male and female,Iowa, 
All,00 years,1972-1974,Male and female,Kentucky, 
All,00 years,1972-1974,Male and female,Louisiana, 
All,00 years,1972-1974,Male and female,Massachusetts, 
All,00 years,1972-1974,Male and female,New Jersey, 
All,00 years,1972-1974,Male and female,New Mexico, 
All,00 years,1972-1974,Male and female,New York, 
All,00 years,1972-1974,Male and female,Texas, 
All,00 years,1972-1974,Male and female,Utah, 
All,00 years,1972-1974,Male and female,Washington, 
All,00 years,1972-1974,Male,Arizona, 
All,00 years,1972-1974,Male,California, 
All,00 years,1972-1974,Male,Connecticut, 
All,00 years,1972-1974,Male,Georgia, 
All,00 years,1972-1974,Male,Illinois, 
All,00 years,1972-1974,Male,Iowa, 
All,00 years,1972-1974,Male,Kentucky, 
All,00 years,1972-1974,Male,Louisiana, 
All,00 years,1972-1974,Male,Massachusetts, 
All,00 years,1972-1974,Male,New Jersey, 
All,00 years,1972-1974,Male,New Mexico, 
All,00 years,1972-1974,Male,New York, 
All,00 years,1972-1974,Male,Texas, 
All,00 years,1972-1974,Male,Utah, 
All,00 years,1972-1974,Male,Washington, 
All,00 years,1972-1974,Female,Arizona, 
All,00 years,1972-1974,Female,California,10
All,00 years,1972-1974,Female,Connecticut, 
All,00 years,1972-1974,Female,Georgia, 
All,00 years,1972-1974,Female,Illinois, 
All,00 years,1972-1974,Female,Iowa, 
All,00 years,1972-1974,Female,Kentucky, 
All,00 years,1972-1974,Female,Louisiana, 
All,00 years,1972-1974,Female,Massachusetts, 
All,00 years,1972-1974,Female,New Jersey, 
All,00 years,1972-1974,Female,New Mexico, 
All,00 years,1972-1974,Female,New York, 
All,00 years,1972-1974,Female,Texas, 
All,00 years,1972-1974,Female,Utah, 
All,00 years,1972-1974,Female,Washington, 
All,00 years,1975-1977,Male and female,Arizona, 
All,00 years,1975-1977,Male and female,California,12
All,00 years,1975-1977,Male and female,Connecticut, 
All,00 years,1975-1977,Male and female,Georgia, 
All,00 years,1975-1977,Male and female,Illinois, 
All,00 years,1975-1977,Male and female,Iowa, 
All,00 years,1975-1977,Male and female,Kentucky, 
All,00 years,1975-1977,Male and female,Louisiana, 
All,00 years,1975-1977,Male and female,Massachusetts, 
All,00 years,1975-1977,Male and female,New Jersey, 
All,00 years,1975-1977,Male and female,New Mexico, 
All,00 years,1975-1977,Male and female,New York, 
All,00 years,1975-1977,Male and female,Texas, 
All,00 years,1975-1977,Male and female,Utah, 
All,00 years,1975-1977,Male and female,Washington, 
All,00 years,1975-1977,Male,Arizona, 
All,00 years,1975-1977,Male,California, 
All,00 years,1975-1977,Male,Connecticut, 
All,00 years,1975-1977,Male,Georgia, 
All,00 years,1975-1977,Male,Illinois, 
All,00 years,1975-1977,Male,Iowa, 
All,00 years,1975-1977,Male,Kentucky, 
All,00 years,1975-1977,Male,Louisiana, 
All,00 years,1975-1977,Male,Massachusetts, 
All,00 years,1975-1977,Male,New Jersey, 
All,00 years,1975-1977,Male,New Mexico, 
All,00 years,1975-1977,Male,New York, 
All,00 years,1975-1977,Male,Texas, 
All,00 years,1975-1977,Male,Utah, 
All,00 years,1975-1977,Male,Washington, 
All,00 years,1975-1977,Female,Arizona, 
All,00 years,1975-1977,Female,California, 
All,00 years,1975-1977,Female,Connecticut, 
All,00 years,1975-1977,Female,Georgia, 
All,00 years,1975-1977,Female,Illinois, 
All,00 years,1975-1977,Female,Iowa, 
All,00 years,1975-1977,Female,Kentucky, 
All,00 years,1975-1977,Female,Louisiana, 
All,00 years,1975-1977,Female,Massachusetts, 
All,00 years,1975-1977,Female,New Jersey, 
All,00 years,1975-1977,Female,New Mexico, 
All,00 years,1975-1977,Female,New York, 
All,00 years,1975-1977,Female,Texas, 
All,00 years,1975-1977,Female,Utah, 
All,00 years,1975-1977,Female,Washington, 
All,00 years,1978-1980,Male and female,Arizona, 
All,00 years,1978-1980,Male and female,California, 
All,00 years,1978-1980,Male and female,Connecticut, 
All,00 years,1978-1980,Male and female,Georgia, 
All,00 years,1978-1980,Male and female,Illinois, 
All,00 years,1978-1980,Male and female,Iowa, 
All,00 years,1978-1980,Male and female,Kentucky, 
All,00 years,1978-1980,Male and female,Louisiana, 
All,00 years,1978-1980,Male and female,Massachusetts, 
All,00 years,1978-1980,Male and female,New Jersey, 
All,00 years,1978-1980,Male and female,New Mexico, 
All,00 years,1978-1980,Male and female,New York,12
All,00 years,1978-1980,Male and female,Texas, 
All,00 years,1978-1980,Male and female,Utah, 
All,00 years,1978-1980,Male and female,Washington, 
All,00 years,1978-1980,Male,Arizona, 
All,00 years,1978-1980,Male,California, 
All,00 years,1978-1980,Male,Connecticut, 
All,00 years,1978-1980,Male,Georgia, 
All,00 years,1978-1980,Male,Illinois, 
All,00 years,1978-1980,Male,Iowa, 
All,00 years,1978-1980,Male,Kentucky, 
All,00 years,1978-1980,Male,Louisiana, 
All,00 years,1978-1980,Male,Massachusetts, 
All,00 years,1978-1980,Male,New Jersey, 
All,00 years,1978-1980,Male,New Mexico, 
All,00 years,1978-1980,Male,New York, 
All,00 years,1978-1980,Male,Texas, 
All,00 years,1978-1980,Male,Utah, 
All,00 years,1978-1980,Male,Washington, 
All,00 years,1978-1980,Female,Arizona, 
All,00 years,1978-1980,Female,California, 
All,00 years,1978-1980,Female,Connecticut, 
All,00 years,1978-1980,Female,Georgia, 
All,00 years,1978-1980,Female,Illinois, 
All,00 years,1978-1980,Female,Iowa, 
All,00 years,1978-1980,Female,Kentucky, 
All,00 years,1978-1980,Female,Louisiana, 
All,00 years,1978-1980,Female,Massachusetts, 
All,00 years,1978-1980,Female,New Jersey, 
All,00 years,1978-1980,Female,New Mexico, 
All,00 years,1978-1980,Female,New York, 
All,00 years,1978-1980,Female,Texas, 
All,00 years,1978-1980,Female,Utah, 
All,00 years,1978-1980,Female,Washington, 
All,00 years,1981-1983,Male and female,Arizona, 
All,00 years,1981-1983,Male and female,California, 
All,00 years,1981-1983,Male and female,Connecticut, 
All,00 years,1981-1983,Male and female,Georgia, 
All,00 years,1981-1983,Male and female,Illinois, 
All,00 years,1981-1983,Male and female,Iowa, 
All,00 years,1981-1983,Male and female,Kentucky, 
All,00 years,1981-1983,Male and female,Louisiana, 
All,00 years,1981-1983,Male and female,Massachusetts, 
All,00 years,1981-1983,Male and female,New Jersey, 
All,00 years,1981-1983,Male and female,New Mexico, 
All,00 years,1981-1983,Male and female,New York, 
All,00 years,1981-1983,Male and female,Texas, 
All,00 years,1981-1983,Male and female,Utah, 
All,00 years,1981-1983,Male and female,Washington, 
All,00 years,1981-1983,Male,Arizona, 
All,00 years,1981-1983,Male,California, 
All,00 years,1981-1983,Male,Connecticut, 
All,00 years,1981-1983,Male,Georgia, 
All,00 years,1981-1983,Male,Illinois, 
All,00 years,1981-1983,Male,Iowa, 
All,00 years,1981-1983,Male,Kentucky, 
All,00 years,1981-1983,Male,Louisiana, 
All,00 years,1981-1983,Male,Massachusetts, 
All,00 years,1981-1983,Male,New Jersey, 
All,00 years,1981-1983,Male,New Mexico, 
All,00 years,1981-1983,Male,New York, 
All,00 years,1981-1983,Male,Texas, 
All,00 years,1981-1983,Male,Utah, 
All,00 years,1981-1983,Male,Washington, 
All,00 years,1981-1983,Female,Arizona, 
All,00 years,1981-1983,Female,California, 
All,00 years,1981-1983,Female,Connecticut, 
All,00 years,1981-1983,Female,Georgia, 
All,00 years,1981-1983,Female,Illinois, 
All,00 years,1981-1983,Female,Iowa, 
All,00 years,1981-1983,Female,Kentucky, 
All,00 years,1981-1983,Female,Louisiana, 
All,00 years,1981-1983,Female,Massachusetts, 
All,00 years,1981-1983,Female,New Jersey, 
All,00 years,1981-1983,Female,New Mexico, 
All,00 years,1981-1983,Female,New York, 
All,00 years,1981-1983,Female,Texas, 
All,00 years,1981-1983,Female,Utah, 
All,00 years,1981-1983,Female,Washington, 
All,00 years,1984-1986,Male and female,Arizona, 
All,00 years,1984-1986,Male and female,California, 
All,00 years,1984-1986,Male and female,Connecticut, 
All,00 years,1984-1986,Male and female,Georgia, 
All,00 years,1984-1986,Male and female,Illinois, 
All,00 years,1984-1986,Male and female,Iowa, 
All,00 years,1984-1986,Male and female,Kentucky, 
All,00 years,1984-1986,Male and female,Louisiana, 
All,00 years,1984-1986,Male and female,Massachusetts, 
All,00 years,1984-1986,Male and female,New Jersey, 
All,00 years,1984-1986,Male and female,New Mexico, 
All,00 years,1984-1986,Male and female,New York, 
All,00 years,1984-1986,Male and female,Texas, 
All,00 years,1984-1986,Male and female,Utah, 
All,00 years,1984-1986,Male and female,Washington, 
All,00 years,1984-1986,Male,Arizona, 
All,00 years,1984-1986,Male,California, 
All,00 years,1984-1986,Male,Connecticut, 
All,00 years,1984-1986,Male,Georgia, 
All,00 years,1984-1986,Male,Illinois, 
All,00 years,1984-1986,Male,Iowa, 
All,00 years,1984-1986,Male,Kentucky, 
All,00 years,1984-1986,Male,Louisiana, 
All,00 years,1984-1986,Male,Massachusetts, 
All,00 years,1984-1986,Male,New Jersey, 
All,00 years,1984-1986,Male,New Mexico, 
All,00 years,1984-1986,Male,New York, 
All,00 years,1984-1986,Male,Texas, 
All,00 years,1984-1986,Male,Utah, 
All,00 years,1984-1986,Male,Washington, 
All,00 years,1984-1986,Female,Arizona, 
All,00 years,1984-1986,Female,California, 
All,00 years,1984-1986,Female,Connecticut, 
All,00 years,1984-1986,Female,Georgia, 
All,00 years,1984-1986,Female,Illinois, 
All,00 years,1984-1986,Female,Iowa, 
All,00 years,1984-1986,Female,Kentucky, 
All,00 years,1984-1986,Female,Louisiana, 
All,00 years,1984-1986,Female,Massachusetts, 
All,00 years,1984-1986,Female,New Jersey, 
All,00 years,1984-1986,Female,New Mexico, 
All,00 years,1984-1986,Female,New York, 
All,00 years,1984-1986,Female,Texas, 
All,00 years,1984-1986,Female,Utah, 
All,00 years,1984-1986,Female,Washington, 
All,00 years,1987-1989,Male and female,Arizona, 
All,00 years,1987-1989,Male and female,California, 
All,00 years,1987-1989,Male and female,Connecticut, 
All,00 years,1987-1989,Male and female,Georgia, 
All,00 years,1987-1989,Male and female,Illinois, 
All,00 years,1987-1989,Male and female,Iowa, 
All,00 years,1987-1989,Male and female,Kentucky, 
All,00 years,1987-1989,Male and female,Louisiana, 
All,00 years,1987-1989,Male and female,Massachusetts, 
All,00 years,1987-1989,Male and female,New Jersey, 
All,00 years,1987-1989,Male and female,New Mexico, 
All,00 years,1987-1989,Male and female,New York, 
All,00 years,1987-1989,Male and female,Texas, 
All,00 years,1987-1989,Male and female,Utah, 
All,00 years,1987-1989,Male and female,Washington, 
All,00 years,1987-1989,Male,Arizona, 
All,00 years,1987-1989,Male,California, 
All,00 years,1987-1989,Male,Connecticut, 
All,00 years,1987-1989,Male,Georgia, 
All,00 years,1987-1989,Male,Illinois, 
All,00 years,1987-1989,Male,Iowa, 
All,00 years,1987-1989,Male,Kentucky, 
All,00 years,1987-1989,Male,Louisiana, 
All,00 years,1987-1989,Male,Massachusetts, 
All,00 years,1987-1989,Male,New Jersey, 
All,00 years,1987-1989,Male,New Mexico, 
All,00 years,1987-1989,Male,New York, 
All,00 years,1987-1989,Male,Texas, 
All,00 years,1987-1989,Male,Utah, 
All,00 years,1987-1989,Male,Washington, 
All,00 years,1987-1989,Female,Arizona, 
All,00 years,1987-1989,Female,California, 
All,00 years,1987-1989,Female,Connecticut, 
All,00 years,1987-1989,Female,Georgia, 
All,00 years,1987-1989,Female,Illinois, 
All,00 years,1987-1989,Female,Iowa, 
All,00 years,1987-1989,Female,Kentucky, 
All,00 years,1987-1989,Female,Louisiana, 
All,00 years,1987-1989,Female,Massachusetts, 
All,00 years,1987-1989,Female,New Jersey, 
All,00 years,1987-1989,Female,New Mexico, 
All,00 years,1987-1989,Female,New York, 
All,00 years,1987-1989,Female,Texas, 
All,00 years,1987-1989,Female,Utah, 
All,00 years,1987-1989,Female,Washington, 
All,00 years,1990-1992,Male and female,Arizona, 
All,00 years,1990-1992,Male and female,California, 
All,00 years,1990-1992,Male and female,Connecticut, 
All,00 years,1990-1992,Male and female,Georgia, 
All,00 years,1990-1992,Male and female,Illinois, 
All,00 years,1990-1992,Male and female,Iowa, 
All,00 years,1990-1992,Male and female,Kentucky, 
All,00 years,1990-1992,Male and female,Louisiana, 
All,00 years,1990-1992,Male and female,Massachusetts, 
All,00 years,1990-1992,Male and female,New Jersey, 
All,00 years,1990-1992,Male and female,New Mexico, 
All,00 years,1990-1992,Male and female,New York, 
All,00 years,1990-1992,Male and female,Texas,15
All,00 years,1990-1992,Male and female,Utah, 
All,00 years,1990-1992,Male and female,Washington, 
All,00 years,1990-1992,Male,Arizona, 
All,00 years,1990-1992,Male,California, 
All,00 years,1990-1992,Male,Connecticut, 
All,00 years,1990-1992,Male,Georgia, 
All,00 years,1990-1992,Male,Illinois, 
All,00 years,1990-1992,Male,Iowa, 
All,00 years,1990-1992,Male,Kentucky, 
All,00 years,1990-1992,Male,Louisiana, 
All,00 years,1990-1992,Male,Massachusetts, 
All,00 years,1990-1992,Male,New Jersey, 
All,00 years,1990-1992,Male,New Mexico, 
All,00 years,1990-1992,Male,New York, 
All,00 years,1990-1992,Male,Texas, 
All,00 years,1990-1992,Male,Utah, 
All,00 years,1990-1992,Male,Washington, 
All,00 years,1990-1992,Female,Arizona, 
All,00 years,1990-1992,Female,California, 
All,00 years,1990-1992,Female,Connecticut, 
All,00 years,1990-1992,Female,Georgia, 
All,00 years,1990-1992,Female,Illinois, 
All,00 years,1990-1992,Female,Iowa, 
All,00 years,1990-1992,Female,Kentucky, 
All,00 years,1990-1992,Female,Louisiana, 
All,00 years,1990-1992,Female,Massachusetts, 
All,00 years,1990-1992,Female,New Jersey, 
All,00 years,1990-1992,Female,New Mexico, 
All,00 years,1990-1992,Female,New York, 
All,00 years,1990-1992,Female,Texas, 
All,00 years,1990-1992,Female,Utah, 
All,00 years,1990-1992,Female,Washington, 
All,00 years,1993-1995,Male and female,Arizona, 
All,00 years,1993-1995,Male and female,California,14
All,00 years,1993-1995,Male and female,Connecticut, 
All,00 years,1993-1995,Male and female,Georgia, 
All,00 years,1993-1995,Male and female,Illinois, 
All,00 years,1993-1995,Male and female,Iowa, 
All,00 years,1993-1995,Male and female,Kentucky, 
All,00 years,1993-1995,Male and female,Louisiana, 
All,00 years,1993-1995,Male and female,Massachusetts, 
All,00 years,1993-1995,Male and female,New Jersey, 
All,00 years,1993-1995,Male and female,New Mexico, 
All,00 years,1993-1995,Male and female,New York, 
All,00 years,1993-1995,Male and female,Texas, 
All,00 years,1993-1995,Male and female,Utah, 
All,00 years,1993-1995,Male and female,Washington, 
All,00 years,1993-1995,Male,Arizona, 
All,00 years,1993-1995,Male,California, 
All,00 years,1993-1995,Male,Connecticut, 
All,00 years,1993-1995,Male,Georgia, 
All,00 years,1993-1995,Male,Illinois, 
All,00 years,1993-1995,Male,Iowa, 
All,00 years,1993-1995,Male,Kentucky, 
All,00 years,1993-1995,Male,Louisiana, 
All,00 years,1993-1995,Male,Massachusetts, 
All,00 years,1993-1995,Male,New Jersey, 
All,00 years,1993-1995,Male,New Mexico, 
All,00 years,1993-1995,Male,New York, 
All,00 years,1993-1995,Male,Texas, 
All,00 years,1993-1995,Male,Utah, 
All,00 years,1993-1995,Male,Washington, 
All,00 years,1993-1995,Female,Arizona, 
All,00 years,1993-1995,Female,California, 
All,00 years,1993-1995,Female,Connecticut, 
All,00 years,1993-1995,Female,Georgia, 
All,00 years,1993-1995,Female,Illinois, 
All,00 years,1993-1995,Female,Iowa, 
All,00 years,1993-1995,Female,Kentucky, 
All,00 years,1993-1995,Female,Louisiana, 
All,00 years,1993-1995,Female,Massachusetts, 
All,00 years,1993-1995,Female,New Jersey, 
All,00 years,1993-1995,Female,New Mexico, 
All,00 years,1993-1995,Female,New York, 
All,00 years,1993-1995,Female,Texas, 
All,00 years,1993-1995,Female,Utah, 
All,00 years,1993-1995,Female,Washington, 
All,00 years,1996-1998,Male and female,Arizona, 
All,00 years,1996-1998,Male and female,California,11
All,00 years,1996-1998,Male and female,Connecticut, 
All,00 years,1996-1998,Male and female,Georgia, 
All,00 years,1996-1998,Male and female,Illinois, 
All,00 years,1996-1998,Male and female,Iowa, 
All,00 years,1996-1998,Male and female,Kentucky, 
All,00 years,1996-1998,Male and female,Louisiana, 
All,00 years,1996-1998,Male and female,Massachusetts, 
All,00 years,1996-1998,Male and female,New Jersey, 
All,00 years,1996-1998,Male and female,New Mexico, 
All,00 years,1996-1998,Male and female,New York, 
All,00 years,1996-1998,Male and female,Texas, 
All,00 years,1996-1998,Male and female,Utah, 
All,00 years,1996-1998,Male and female,Washington, 
All,00 years,1996-1998,Male,Arizona, 
All,00 years,1996-1998,Male,California, 
All,00 years,1996-1998,Male,Connecticut, 
All,00 years,1996-1998,Male,Georgia, 
All,00 years,1996-1998,Male,Illinois, 
All,00 years,1996-1998,Male,Iowa, 
All,00 years,1996-1998,Male,Kentucky, 
All,00 years,1996-1998,Male,Louisiana, 
All,00 years,1996-1998,Male,Massachusetts, 
All,00 years,1996-1998,Male,New Jersey, 
All,00 years,1996-1998,Male,New Mexico, 
All,00 years,1996-1998,Male,New York, 
All,00 years,1996-1998,Male,Texas, 
All,00 years,1996-1998,Male,Utah, 
All,00 years,1996-1998,Male,Washington, 
All,00 years,1996-1998,Female,Arizona, 
All,00 years,1996-1998,Female,California, 
All,00 years,1996-1998,Female,Connecticut, 
All,00 years,1996-1998,Female,Georgia, 
All,00 years,1996-1998,Female,Illinois, 
All,00 years,1996-1998,Female,Iowa, 
All,00 years,1996-1998,Female,Kentucky, 
All,00 years,1996-1998,Female,Louisiana, 
All,00 years,1996-1998,Female,Massachusetts, 
All,00 years,1996-1998,Female,New Jersey, 
All,00 years,1996-1998,Female,New Mexico, 
All,00 years,1996-1998,Female,New York, 
All,00 years,1996-1998,Female,Texas, 
All,00 years,1996-1998,Female,Utah, 
All,00 years,1996-1998,Female,Washington, 
All,00 years,1999-2001,Male and female,Arizona, 
All,00 years,1999-2001,Male and female,California,12
All,00 years,1999-2001,Male and female,Connecticut, 
All,00 years,1999-2001,Male and female,Georgia, 
All,00 years,1999-2001,Male and female,Illinois, 
All,00 years,1999-2001,Male and female,Iowa, 
All,00 years,1999-2001,Male and female,Kentucky, 
All,00 years,1999-2001,Male and female,Louisiana, 
All,00 years,1999-2001,Male and female,Massachusetts, 
All,00 years,1999-2001,Male and female,New Jersey, 
All,00 years,1999-2001,Male and female,New Mexico, 
All,00 years,1999-2001,Male and female,New York, 
All,00 years,1999-2001,Male and female,Texas,15
All,00 years,1999-2001,Male and female,Utah, 
All,00 years,1999-2001,Male and female,Washington, 
All,00 years,1999-2001,Male,Arizona, 
All,00 years,1999-2001,Male,California, 
All,00 years,1999-2001,Male,Connecticut, 
All,00 years,1999-2001,Male,Georgia, 
All,00 years,1999-2001,Male,Illinois, 
All,00 years,1999-2001,Male,Iowa, 
All,00 years,1999-2001,Male,Kentucky, 
All,00 years,1999-2001,Male,Louisiana, 
All,00 years,1999-2001,Male,Massachusetts, 
All,00 years,1999-2001,Male,New Jersey, 
All,00 years,1999-2001,Male,New Mexico, 
All,00 years,1999-2001,Male,New York, 
All,00 years,1999-2001,Male,Texas, 
All,00 years,1999-2001,Male,Utah, 
All,00 years,1999-2001,Male,Washington, 
All,00 years,1999-2001,Female,Arizona, 
All,00 years,1999-2001,Female,California, 
All,00 years,1999-2001,Female,Connecticut, 
All,00 years,1999-2001,Female,Georgia, 
All,00 years,1999-2001,Female,Illinois, 
All,00 years,1999-2001,Female,Iowa, 
All,00 years,1999-2001,Female,Kentucky, 
All,00 years,1999-2001,Female,Louisiana, 
All,00 years,1999-2001,Female,Massachusetts, 
All,00 years,1999-2001,Female,New Jersey, 
All,00 years,1999-2001,Female,New Mexico, 
All,00 years,1999-2001,Female,New York, 
All,00 years,1999-2001,Female,Texas, 
All,00 years,1999-2001,Female,Utah, 
All,00 years,1999-2001,Female,Washington, 
All,00 years,2002-2004,Male and female,Arizona, 
All,00 years,2002-2004,Male and female,California,12
All,00 years,2002-2004,Male and female,Connecticut, 
All,00 years,2002-2004,Male and female,Georgia, 
All,00 years,2002-2004,Male and female,Illinois, 
All,00 years,2002-2004,Male and female,Iowa, 
All,00 years,2002-2004,Male and female,Kentucky, 
All,00 years,2002-2004,Male and female,Louisiana, 
All,00 years,2002-2004,Male and female,Massachusetts, 
All,00 years,2002-2004,Male and female,New Jersey, 
All,00 years,2002-2004,Male and female,New Mexico, 
All,00 years,2002-2004,Male and female,New York, 
All,00 years,2002-2004,Male and female,Texas, 
All,00 years,2002-2004,Male and female,Utah, 
All,00 years,2002-2004,Male and female,Washington, 
All,00 years,2002-2004,Male,Arizona, 
All,00 years,2002-2004,Male,California, 
All,00 years,2002-2004,Male,Connecticut, 
All,00 years,2002-2004,Male,Georgia, 
All,00 years,2002-2004,Male,Illinois, 
All,00 years,2002-2004,Male,Iowa, 
All,00 years,2002-2004,Male,Kentucky, 
All,00 years,2002-2004,Male,Louisiana, 
All,00 years,2002-2004,Male,Massachusetts, 
All,00 years,2002-2004,Male,New Jersey, 
All,00 years,2002-2004,Male,New Mexico, 
All,00 years,2002-2004,Male,New York, 
All,00 years,2002-2004,Male,Texas, 
All,00 years,2002-2004,Male,Utah, 
All,00 years,2002-2004,Male,Washington, 
All,00 years,2002-2004,Female,Arizona, 
All,00 years,2002-2004,Female,California, 
All,00 years,2002-2004,Female,Connecticut, 
All,00 years,2002-2004,Female,Georgia, 
All,00 years,2002-2004,Female,Illinois, 
All,00 years,2002-2004,Female,Iowa, 
All,00 years,2002-2004,Female,Kentucky, 
All,00 years,2002-2004,Female,Louisiana, 
All,00 years,2002-2004,Female,Massachusetts, 
All,00 years,2002-2004,Female,New Jersey, 
All,00 years,2002-2004,Female,New Mexico, 
All,00 years,2002-2004,Female,New York, 
All,00 years,2002-2004,Female,Texas, 
All,00 years,2002-2004,Female,Utah, 
All,00 years,2002-2004,Female,Washington, 
All,00 years,2005-2007,Male and female,Arizona, 
All,00 years,2005-2007,Male and female,California, 
All,00 years,2005-2007,Male and female,Connecticut, 
All,00 years,2005-2007,Male and female,Georgia, 
All,00 years,2005-2007,Male and female,Illinois, 
All,00 years,2005-2007,Male and female,Iowa, 
All,00 years,2005-2007,Male and female,Kentucky, 
All,00 years,2005-2007,Male and female,Louisiana, 
All,00 years,2005-2007,Male and female,Massachusetts, 
All,00 years,2005-2007,Male and female,New Jersey, 
All,00 years,2005-2007,Male and female,New Mexico, 
All,00 years,2005-2007,Male and female,New York, 
All,00 years,2005-2007,Male and female,Texas, 
All,00 years,2005-2007,Male and female,Utah, 
All,00 years,2005-2007,Male and female,Washington, 
All,00 years,2005-2007,Male,Arizona, 
All,00 years,2005-2007,Male,California, 
All,00 years,2005-2007,Male,Connecticut, 
All,00 years,2005-2007,Male,Georgia, 
All,00 years,2005-2007,Male,Illinois, 
All,00 years,2005-2007,Male,Iowa, 
All,00 years,2005-2007,Male,Kentucky, 
All,00 years,2005-2007,Male,Louisiana, 
All,00 years,2005-2007,Male,Massachusetts, 
All,00 years,2005-2007,Male,New Jersey, 
All,00 years,2005-2007,Male,New Mexico, 
All,00 years,2005-2007,Male,New York, 
All,00 years,2005-2007,Male,Texas, 
All,00 years,2005-2007,Male,Utah, 
All,00 years,2005-2007,Male,Washington, 
All,00 years,2005-2007,Female,Arizona, 
